phase,graph,chunk,module_execute_us
prompt,model.0.s32,32,3607672
prompt,model.0.s32,32,25211
prompt,model.0.s32,8,24480
decode,model.0.s1,1,3465597
decode,model.0.s1,1,24746
decode,model.0.s1,1,24063
decode,model.0.s1,1,24174
decode,model.0.s1,1,24093
decode,model.0.s1,1,24040
decode,model.0.s1,1,24099
decode,model.0.s1,1,24035
decode,model.0.s1,1,24054
decode,model.0.s1,1,24064
decode,model.0.s1,1,24039
decode,model.0.s1,1,24156
decode,model.0.s1,1,24051
decode,model.0.s1,1,24068
decode,model.0.s1,1,24091
decode,model.0.s1,1,24066
decode,model.0.s1,1,24581
decode,model.0.s1,1,24193
decode,model.0.s1,1,24116
decode,model.0.s1,1,24157
decode,model.0.s1,1,24123
decode,model.0.s1,1,24110
decode,model.0.s1,1,24162
decode,model.0.s1,1,24125
decode,model.0.s1,1,24112
decode,model.0.s1,1,24032
decode,model.0.s1,1,24100
decode,model.0.s1,1,24076
decode,model.0.s1,1,24125
decode,model.0.s1,1,24071
decode,model.0.s1,1,24081
decode,model.0.s1,1,24203
decode,model.0.s1,1,24140
decode,model.0.s1,1,24165
decode,model.0.s1,1,24107
decode,model.0.s1,1,24099
decode,model.0.s1,1,24198
decode,model.0.s1,1,21999
decode,model.0.s1,1,24018
decode,model.0.s1,1,24124
decode,model.0.s1,1,24136
decode,model.0.s1,1,24119
decode,model.0.s1,1,22601
decode,model.0.s1,1,23300
decode,model.0.s1,1,22226
decode,model.0.s1,1,22203
decode,model.0.s1,1,22315
decode,model.0.s1,1,24025
decode,model.0.s1,1,22152
decode,model.0.s1,1,23102
decode,model.0.s1,1,23139
decode,model.0.s1,1,23059
decode,model.0.s1,1,22210
decode,model.0.s1,1,24079
decode,model.0.s1,1,22166
decode,model.0.s1,1,23414
decode,model.0.s1,1,23224
decode,model.0.s1,1,23076
decode,model.0.s1,1,22351
decode,model.0.s1,1,22893
decode,model.0.s1,1,23416
decode,model.0.s1,1,23518
decode,model.0.s1,1,23502
decode,model.0.s1,1,23452
decode,model.0.s1,1,23340
decode,model.0.s1,1,23495
decode,model.0.s1,1,23585
decode,model.0.s1,1,23462
decode,model.0.s1,1,23595
decode,model.0.s1,1,23709
decode,model.0.s1,1,23243
decode,model.0.s1,1,23123
decode,model.0.s1,1,23254
decode,model.0.s1,1,23431
decode,model.0.s1,1,22919
decode,model.0.s1,1,22824
decode,model.0.s1,1,23269
decode,model.0.s1,1,23248
decode,model.0.s1,1,23359
decode,model.0.s1,1,23484
decode,model.0.s1,1,23405
decode,model.0.s1,1,23408
decode,model.0.s1,1,23330
decode,model.0.s1,1,23278
decode,model.0.s1,1,23453
decode,model.0.s1,1,23321
decode,model.0.s1,1,22253
decode,model.0.s1,1,22794
decode,model.0.s1,1,23556
decode,model.0.s1,1,23626
decode,model.0.s1,1,23540
decode,model.0.s1,1,23377
decode,model.0.s1,1,23572
decode,model.0.s1,1,23591
decode,model.0.s1,1,24158
decode,model.0.s1,1,22735
decode,model.0.s1,1,22878
decode,model.0.s1,1,23485
decode,model.0.s1,1,23493
decode,model.0.s1,1,23476
decode,model.0.s1,1,23379
decode,model.0.s1,1,23501
decode,model.0.s1,1,22889
decode,model.0.s1,1,23437
decode,model.0.s1,1,23612
decode,model.0.s1,1,23467
decode,model.0.s1,1,23404
decode,model.0.s1,1,23435
decode,model.0.s1,1,23455
decode,model.0.s1,1,23446
decode,model.0.s1,1,23342
decode,model.0.s1,1,23377
decode,model.0.s1,1,23412
decode,model.0.s1,1,23440
decode,model.0.s1,1,23414
decode,model.0.s1,1,23412
decode,model.0.s1,1,23401
decode,model.0.s1,1,23609
decode,model.0.s1,1,23612
decode,model.0.s1,1,23485
decode,model.0.s1,1,23502
decode,model.0.s1,1,23508
decode,model.0.s1,1,23506
decode,model.0.s1,1,23371
decode,model.0.s1,1,23610
decode,model.0.s1,1,23548
decode,model.0.s1,1,23680
decode,model.0.s1,1,23631
decode,model.0.s1,1,23515
decode,model.0.s1,1,23662
decode,model.0.s1,1,23422
decode,model.0.s1,1,23493
decode,model.0.s1,1,23542
decode,model.0.s1,1,23466
decode,model.0.s1,1,23160
decode,model.0.s1,1,23586
decode,model.0.s1,1,23635
decode,model.0.s1,1,23478
decode,model.0.s1,1,23488
decode,model.0.s1,1,23549
decode,model.0.s1,1,23450
decode,model.0.s1,1,23600
decode,model.0.s1,1,23705
