input log file location, ./qnn-profiling-data.log
qnn-profile-viewer version, v2.47.0.260601114230
mllm version, 1
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
0,INIT,0,US,NETRUN,ROOT,null
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
0,DE-INIT,0,US,NETRUN,ROOT,null
47175703048,EXECUTE,2886757,US,NETRUN,ROOT,Graph 0: model.0.s32
47175703048,EXECUTE,6,COUNT,BACKEND,ROOT,Number of HVX threads used
47175703048,EXECUTE,2795620,US,BACKEND,ROOT,RPC (execute) time
47175703048,EXECUTE,2795219,US,BACKEND,ROOT,QNN accelerator (execute) time
47175703048,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
47175703048,EXECUTE,830,US,BACKEND,ROOT,Time for initial VTCM acquire
47175703048,EXECUTE,9709,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
47175703048,EXECUTE,45412925,CYCLES,BACKEND,ROOT,Accelerator (critical path execute) time (cycles)
47175703048,EXECUTE,4185,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
47175703048,EXECUTE,53,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,416,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,20,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"HVX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,39688,CYCLES,BACKEND,SUB-EVENT,model.embed_tokens:OpId_17 (cycles)
47175703048,EXECUTE,75,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"HVX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,14045,CYCLES,BACKEND,SUB-EVENT,model.Gather.0:OpId_21 (cycles)
47175703048,EXECUTE,555,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,11968,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
